"","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Ratings.Source","Ratings.Value","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","tomatoMeter","tomatoImage","tomatoRating","tomatoReviews","tomatoFresh","tomatoRotten","tomatoConsensus","tomatoUserMeter","tomatoUserRating","tomatoUserReviews","tomatoURL","DVD","BoxOffice","Production","Website","Response"
"38","Veronica Mars","2004–2007","TV-14","22 Sep 2004","44 min","Crime, Drama, Mystery","N/A","Rob Thomas","Kristen Bell, Percy Daggs III, Jason Dohring, Francis Capra","After her best friend is murdered and her father is removed as county sheriff, Veronica Mars dedicates her life to cracking the toughest mysteries in the affluent town of Neptune.","English","USA","5 wins & 18 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3MDAwNzA1ODVeQTJeQWpwZ15BbWU3MDAzMzAwNTE@._V1._CR43,35,298,451_SX89_AL_.jpg_V1_SX300.jpg","Internet Movie Database","8.4/10","N/A","8.4","57,260","tt0412253","series","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"39","Ghost Hunters","2004–","N/A","06 Oct 2004","60 min","Documentary","N/A","N/A","Jason Hawes, Steve Gonsalves, Dave Tango, Grant Wilson","This one-hour weekly docu-soap from the creator/executive producer of ""American Chopper"" follows a group of real-life paranormal researchers as they investigate haunted houses throughout ...","English","USA","2 wins.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzOTAxMTM2OV5BMl5BanBnXkFtZTcwNzU3NzAzMQ@@._V1_SX300.jpg","Internet Movie Database","6.5/10","N/A","6.5","5,725","tt0426697","series","11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"40","Robot Chicken","2001–","TV-MA","20 Feb 2005","11 min","Animation, Comedy","N/A","Seth Green, Matthew Senreich, Mike Fasolo","Seth Green, Matthew Senreich, Breckin Meyer","From creators Seth Green and Matthew Senreich, 'Robot Chicken' is stop-motion animation with a demented twist.","English","USA","Won 4 Primetime Emmys. Another 3 wins & 25 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BYTVkMWY0ZTItMTg1Yy00ZmQ5LTgwYzktYTdkODdmZGJiOGUwXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","Internet Movie Database","7.8/10","N/A","7.8","34,533","tt0437745","series","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"41","Star Wars: The Clone Wars","2008–2015","TV-PG","03 Oct 2008","23 min","Animation, Action, Adventure","N/A","George Lucas","Tom Kane, Dee Bradley Baker, Matt Lanter, James Arnold Taylor","The Grand Army of the Republic, led by Yoda, Mace Windu, Obi-Wan Kenobi, Anakin Skywalker and other Jedi Knights, fights the droid army of the Separatists.","English","USA","23 wins & 68 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BZGNhYmVlNDAtYmYyMi00ZjI0LTg2MDEtNzhkMTdlMmRhYTI5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","Internet Movie Database","8.0/10","N/A","8.0","31,915","tt0458290","series","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"42","Bones","2005–2017","TV-14","13 Sep 2005","40 min","Comedy, Crime, Drama","N/A","Hart Hanson","Emily Deschanel, David Boreanaz, Michaela Conlin, T.J. Thyne","Forensic anthropologist, Dr. Temperance ""Bones"" Brennan, and cocky FBI special agent Seeley Booth build a team to investigate murders - and quite often, there isn't more to examine than rotten flesh or mere bones.","English, Spanish","USA","Nominated for 2 Primetime Emmys. Another 8 wins & 39 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3ODMxMzM5NF5BMl5BanBnXkFtZTgwMDM1NjU0OTE@._V1_SX300.jpg","Internet Movie Database","7.9/10","N/A","7.9","119,678","tt0460627","series","12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"43","It's Always Sunny in Philadelphia","2005–","TV-MA","04 Aug 2005","22 min","Comedy","N/A","Glenn Howerton, Rob McElhenney","Charlie Day, Glenn Howerton, Rob McElhenney, Kaitlin Olson","Five friends with big egos and slightly arrogant attitudes are the proprietors of an Irish bar in Philadelphia.","English","USA","Nominated for 3 Primetime Emmys. Another 3 wins & 8 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ4MDMzMDg3OV5BMl5BanBnXkFtZTgwNDA4NDg5MDI@._V1_SX300.jpg","Internet Movie Database","8.8/10","N/A","8.8","147,097","tt0472954","series","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","98","4.7","1208","http://www.rottentomatoes.com/m/its-always-sunny-in-philadelphia-seasons-1-2/","04 Sep 2007","N/A","Twentieth Century Fox Home Entertainment","N/A","True"
"44","The Company","2007–","N/A","05 Aug 2007","286 min","Drama, History, Romance","N/A","N/A","Chris O'Donnell, Alfred Molina, Michael Keaton, Rory Cochrane","Real-life figures from the Cold War era mix with a fictional story based on a group of CIA operatives and their counterparts in the KGB, MI6, and the Mossad.","English","USA","Nominated for 1 Golden Globe. Another 7 wins & 20 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyMjU2ODA3OV5BMl5BanBnXkFtZTcwNDExMDA1MQ@@._V1_SX300.jpg","Internet Movie Database","7.9/10","N/A","7.9","4,010","tt0488352","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","76","3.9","599","http://www.rottentomatoes.com/m/1186509-company/","23 Oct 2007","N/A","Sony Pictures Home Entertainment","N/A","True"
"45","Psych","2006–2014","TV-PG","07 Jul 2006","44 min","Comedy, Crime, Mystery","N/A","Steve Franks","James Roday, Dulé Hill, Timothy Omundson, Corbin Bernsen","A novice sleuth is hired by the police after he cons them into thinking he has psychic powers which help solve crimes. With the assistance of his reluctant best friend, the duo take on a series of complicated cases.","English","USA","Nominated for 1 Primetime Emmy. Another 5 wins & 30 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2NzgzNDA3NV5BMl5BanBnXkFtZTcwMjg1MzU1MQ@@._V1_SX300.jpg","Internet Movie Database","8.4/10","N/A","8.4","70,201","tt0491738","series","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"46","Friday Night Lights","2006–2011","TV-14","03 Oct 2006","44 min","Drama, Sport","N/A","Peter Berg","Kyle Chandler, Connie Britton, Aimee Teegarden, Brad Leland","The trials and tribulations of small town Texas football players, their friends, family, and coaching staff.","English","USA","Won 3 Primetime Emmys. Another 13 wins & 94 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwNjIyMTYwOV5BMl5BanBnXkFtZTcwMTA2MDU1MQ@@._V1_SX300.jpg","Internet Movie Database","8.7/10","N/A","8.7","45,729","tt0758745","series","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"47","Rules of Engagement","2007–2013","TV-PG","03 Feb 2007","22 min","Comedy, Romance","N/A","Tom Hertz","Patrick Warburton, Megyn Price, Oliver Hudson, Bianca Kajlich","Two couples and their single friend, all at different stages in their relationships, deal with the complications of dating, commitment and marriage.","English","USA","Nominated for 4 Primetime Emmys. Another 8 wins & 3 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4NzkyMjg0OF5BMl5BanBnXkFtZTcwNzA1ODgwNA@@._V1_SX300.jpg","Internet Movie Database","7.3/10","N/A","7.3","27,804","tt0790772","series","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"48","Eureka","2006–2012","TV-14","18 Jul 2006","60 min","Comedy, Drama, Sci-Fi","N/A","Andrew Cosby, Jaime Paglia","Colin Ferguson, Salli Richardson-Whitfield, Erica Cerra, Neil Grayston","The best minds in the US are tucked away in a remote town where they build futuristic inventions for the government's benefit.","English","USA","Nominated for 1 Primetime Emmy. Another 2 wins & 12 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyMDQ0NDY1M15BMl5BanBnXkFtZTcwOTU1Njk3MQ@@._V1_SX300.jpg","Internet Movie Database","7.9/10","N/A","7.9","41,080","tt0796264","series","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"49","Heroes","2006–2010","TV-14","25 Sep 2006","45 min","Drama, Fantasy, Sci-Fi","N/A","Tim Kring","Jack Coleman, Hayden Panettiere, Milo Ventimiglia, Masi Oka","Common people discover that they have super powers. Their lives intertwine as a devastating event must be prevented.","English, Japanese, Spanish","USA","Nominated for 2 Golden Globes. Another 28 wins & 96 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjI3ODU0OTQ1MV5BMl5BanBnXkFtZTgwNzI0MTQ2MzE@._V1_SX300.jpg","Internet Movie Database","7.7/10","N/A","7.7","208,262","tt0813715","series","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","71","3.7","249","http://www.rottentomatoes.com/m/heroes-and-villians/","N/A","N/A","N/A","N/A","True"
"50","Saving Grace","2007–2010","TV-MA","23 Jul 2007","60 min","Drama, Fantasy","N/A","Nancy Miller","Holly Hunter, Leon Rippy, Kenny Johnson, Bailey Chase","An angel offers a jaded Oklahoma City police detective the chance to redeem her life.","English","USA","Nominated for 1 Golden Globe. Another 5 wins & 17 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxNzQzOTg4OV5BMl5BanBnXkFtZTcwMjM3MjM2Mg@@._V1_SX300.jpg","Internet Movie Database","7.6/10","N/A","7.6","3,973","tt0830900","series","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","79","3.6","2724","http://www.rottentomatoes.com/m/saving_grace_2008/","01 Dec 2008","N/A","N/A","N/A","True"
"51","Life","2007–2009","N/A","26 Sep 2007","45 min","Crime, Drama, Mystery","N/A","Rand Ravich","Damian Lewis, Sarah Shahi, Adam Arkin, Brent Sexton","A former police officer returns to the force after having been wrongly imprisoned for years.","English","USA","2 wins & 3 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2NjAwMDIwNV5BMl5BanBnXkFtZTcwMzcxNTAwMg@@._V1_SX300.jpg","Internet Movie Database","8.3/10","N/A","8.3","30,256","tt0874936","series","2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"52","Shaun the Sheep","2007–","TV-G","05 Mar 2007","7 min","Animation, Short, Comedy","N/A","David Fine, Alison Snowden, Richard Starzak","Justin Fletcher, John Sparkes, Richard Webber, Kate Harbour","Shaun is a sheep who doesn't follow the flock - in fact, he leads them into all sorts of scrapes and scraps, turning peace in the valley into mayhem in the meadow. Shaun and his pals run ...","English","UK","5 wins & 2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2MTcyNTY5Ml5BMl5BanBnXkFtZTgwODM1Mzc1NjE@._V1._CR108,0,293,336_SY132_CR13,0,89,132_AL_.jpg_V1_SX300.jpg","Internet Movie Database","8.3/10","N/A","8.3","8,684","tt0983983","series","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","79","4.1","86","http://www.rottentomatoes.com/m/shaun_the_sheep_the_big_chase/","19 Apr 2011","N/A","N/A","N/A","True"
"53","The Inbetweeners","2008–2010","TV-14","25 Jan 2010","25 min","Comedy","N/A","N/A","Simon Bird, James Buckley, Blake Harrison, Joe Thomas","Follows four friends and their antics during their final years of school.","English","UK","13 wins & 13 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyNDg1NjE1OF5BMl5BanBnXkFtZTcwOTA0MTY0Mg@@._V1._CR36,1,300,446_SX89_AL_.jpg_V1_SX300.jpg","Internet Movie Database","8.4/10","N/A","8.4","61,585","tt1220617","series","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"54","Wuthering Heights","2009–","N/A","18 Jan 2009","142 min","Drama, Romance","N/A","N/A","Tom Hardy, Charlotte Riley, Andrew Lincoln, Sarah Lancashire","Foundling Heathcliff is raised by the wealthy Earnshaws in Yorkshire but in later life launches a vendetta against the family.","English","UK","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5MTQzMzQ0OV5BMl5BanBnXkFtZTgwNTk1MjA2MDE@._V1_SX300.jpg","Internet Movie Database","7.7/10","N/A","7.7","6,626","tt1238834","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","85","4.0","1682","http://www.rottentomatoes.com/m/1214087-wuthering_heights/","13 Oct 2009","N/A","Independent Television (ITV)","http://www.pbs.org/wgbh/masterpiece/wutheringheights/index.html","True"
"55","Sonny with a Chance","2009–2011","TV-G","08 Feb 2009","23 min","Comedy, Family, Romance","N/A","Steve Marmel","Demi Lovato, Tiffany Thornton, Sterling Knight, Brandon Mychal Smith","Sonny, a talented Midwestern girl, has won a nationwide talent search to move to Los Angeles and star in a popular television series. Sonny's home and work life is documented along with her adjustment to life in the spotlight.","English","USA","2 wins & 6 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BOWQxZmU4YWEtNDRiZi00ZjA4LTk3Y2UtNmJlMWI5MWI4MzQxXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg","Internet Movie Database","6.2/10","N/A","6.2","8,192","tt1252374","series","2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"56","Meet the Browns","2009–2012","N/A","07 Jan 2009","30 min","Comedy","N/A","Tyler Perry","Denise Boutte, Tamela J. Mann, David Mann, Lamman Rucker","For Cora Simmons, living at home as a grown adult has its challenges. Especially when you have Mr. Brown as a daddy.","English","USA","1 win & 4 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MTQwNjczNF5BMl5BanBnXkFtZTcwOTEyMTA3NQ@@._V1_SX300.jpg","Internet Movie Database","3.7/10","N/A","3.7","1,964","tt1319598","series","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"57","Carlos","2010–","NOT RATED","11 Oct 2010","334 min","Biography, Crime, Drama","N/A","N/A","Edgar Ramírez, Alexander Scheer, Fadi Abi Samra, Lamia Ahmed","The story of Venezuelan revolutionary Ilich Ramírez Sánchez, who founded a worldwide terrorist organization and raided the 1975 OPEC meeting.","English, Arabic, German, Spanish, French, Hungarian, Japanese, Russian","France, Germany","Won 1 Golden Globe. Another 16 wins & 39 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BZmFhZDgxYWItYTQyMC00YWVhLTg3NjgtMDcyMDk5Y2ZiNjgwXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg","Internet Movie Database","7.7/10","94","7.7","10,987","tt1321865","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"58","Emma","2009–","N/A","24 Jan 2010","240 min","Comedy, Drama, Romance","N/A","N/A","Romola Garai, Michael Gambon, Jonny Lee Miller, Jodhi May","Emma Woodhouse seems to be perfectly content, a loving father whom she cares for, friends, and a home. But Emma has a terrible habit - matchmaking. She cannot resist finding suitors for her...","English","UK","Nominated for 1 Golden Globe. Another 1 win & 8 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxMDc1MzQxMV5BMl5BanBnXkFtZTcwMzY0MzUwMw@@._V1_SX300.jpg","Internet Movie Database","8.2/10","N/A","8.2","11,373","tt1366312","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"59","Spartacus: War of the Damned","2010–2013","TV-MA","22 Jan 2010","55 min","Action, Adventure, Biography","N/A","Steven S. DeKnight","Manu Bennett, Daniel Feuerriegel, Peter Mensah, Lucy Lawless","Watch the story of history's greatest gladiator unfold with graphic violence and the passions of the women that love them. This is Spartacus.","English","USA","4 wins & 14 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BOTA2NDU2MzM5Nl5BMl5BanBnXkFtZTcwMTk3Njg3OA@@._V1_SX300.jpg","Internet Movie Database","8.6/10","N/A","8.6","184,526","tt1442449","series","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"60","Luther","2010–2016","TV-MA","17 Oct 2010","60 min","Crime, Drama, Mystery","N/A","Neil Cross","Idris Elba, Warren Brown, Dermot Crowley, Michael Smiley","A crime drama series starring Idris Elba as a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions.","English","UK","Won 1 Golden Globe. Another 13 wins & 62 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMWJiYTNjZDAtZDY2NS00YzA2LWE0MTAtMTQ0ZjAyMjQ1ZTQ1XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg","Internet Movie Database","8.6/10","N/A","8.6","80,878","tt1474684","series","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"61","Nikita","2010–2013","N/A","09 Sep 2010","60 min","Action, Crime, Drama","N/A","Craig Silverstein","Maggie Q, Shane West, Lyndsy Fonseca, Aaron Stanford","A rogue assassin returns to take down the secret organization that trained her.","English","USA","Nominated for 2 Primetime Emmys. Another 2 wins & 22 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxMDAyOTMzMV5BMl5BanBnXkFtZTcwMjE5NTc4NA@@._V1_SX300.jpg","Internet Movie Database","7.7/10","N/A","7.7","43,798","tt1592154","series","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"62","Perception","2012–2015","TV-14","09 Jul 2012","42 min","Crime, Drama, Mystery","N/A","Kenneth Biller, Michael Sussman","Eric McCormack, Rachael Leigh Cook, Kelly Rowan, Arjay Smith","Dr. Daniel Pierce is an eccentric neuropsychiatrist who uses his unique outlook to help the federal government solve complex criminal cases.","English","USA","2 wins & 4 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4MzIwNzU1NF5BMl5BanBnXkFtZTgwMTk3NzQxMDE@._V1_SX300.jpg","Internet Movie Database","7.5/10","N/A","7.5","16,408","tt1714204","series","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"63","Last Man Standing","2011–2017","TV-PG","11 Oct 2011","30 min","Comedy","N/A","Jack Burditt","Tim Allen, Nancy Travis, Molly Ephraim, Kaitlyn Dever","A married father of three tries to maintain his manliness in a world increasingly dominated by women.","English","USA","Nominated for 1 Primetime Emmy. Another 5 wins & 6 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BZWI5NTI2YzQtNGJmZi00ZWI5LWIwY2ItMTEzYWNmYmJlYzI0XkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_SX300.jpg","Internet Movie Database","7.5/10","N/A","7.5","18,916","tt1828327","series","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"64","Unforgettable","2011–2016","TV-14","20 Sep 2011","60 min","Crime, Drama, Mystery","N/A","John Bellucci, Ed Redlich","Poppy Montgomery, Dylan Walsh, James Hiroyuki Liao, Jane Curtin","Carrie Wells, a former police detective, has a rare ability to remember virtually everything she experiences including detailed visual recall. She returns to police work and uses her ability to solve crimes.","N/A","USA","1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwMzU5NDM5Ml5BMl5BanBnXkFtZTcwMjkyOTYzNg@@._V1_SX300.jpg","Internet Movie Database","6.7/10","N/A","6.7","13,552","tt1842530","series","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"65","Lilyhammer","2012–2014","TV-MA","25 Jan 2012","45 min","Comedy, Crime, Drama","N/A","Eilif Skodvin, Anne Bjørnstad","Steven Van Zandt, Trond Fausa, Steinar Sagen, Marian Saastad Ottesen","A New York mobster goes into hiding in rural Lillehammer in Norway after testifying against his former associates.","English, Norwegian","Norway, USA","6 wins & 1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5NjAyOTkyM15BMl5BanBnXkFtZTgwNzIzODAwMzE@._V1_SX300.jpg","Internet Movie Database","8.1/10","N/A","8.1","20,582","tt1958961","series","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"66","Anger Management","2012–2014","N/A","28 Jun 2012","22 min","Comedy, Romance","N/A","Bruce Helford","Shawnee Smith, Charlie Sheen, Noureen DeWulf, Michael Arden","Divorced former baseball player Charlie Goodson is now an anger management therapist. He has a teenage daughter with obsessive-compulsive disorder and he has a purely sexual relationship ...","English","USA","2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzOTUzNjIwMV5BMl5BanBnXkFtZTcwNjkxNTQ4Nw@@._V1_SX300.jpg","Internet Movie Database","6.7/10","N/A","6.7","27,849","tt1986770","series","2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"67","Gomorrah","2014–","TV-MA","N/A","55 min","Crime, Drama, Thriller","N/A","Leonardo Fasoli, Stefano Bises, Ludovica Rampoldi, Giovanni Bianconi, Roberto Saviano","Marco D'Amore, Fortunato Cerlino, Salvatore Esposito, Fabio De Caro","Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.","Italian","Italy, Germany","8 wins & 1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4NDM0MjI5NF5BMl5BanBnXkFtZTgwOTE2MDUxMjE@._V1_SX300.jpg","Internet Movie Database","8.7/10","N/A","8.7","13,548","tt2049116","series","2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"68","Revolution","2012–2014","TV-14","N/A","43 min","Action, Adventure, Drama","N/A","Eric Kripke","Billy Burke, Tracy Spiridakos, Giancarlo Esposito, Zak Orth","Fifteen years after a permanent global blackout, a group of revolutionaries seeks to drive out an occupying force posing as the United States Government.","English","USA","Won 1 Primetime Emmy. Another 3 wins & 11 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5ODk1NzA2OV5BMl5BanBnXkFtZTgwNzM3NjQ0MDE@._V1_SX300.jpg","Internet Movie Database","6.7/10","N/A","6.7","74,671","tt2070791","series","2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"69","The Following","2013–2015","TV-14","21 Jan 2013","43 min","Crime, Drama, Mystery","N/A","Kevin Williamson","Kevin Bacon, Shawn Ashmore, James Purefoy, Sam Underwood","A brilliant and charismatic, yet psychotic serial killer communicates with other active serial killers and activates a cult of believers following his every command.","English","USA","3 wins & 13 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNTk0MjUwOV5BMl5BanBnXkFtZTgwOTE4MDc2NDE@._V1_SX300.jpg","Internet Movie Database","7.5/10","N/A","7.5","76,497","tt2071645","series","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"70","Defiance","2013–2015","TV-MA","15 Apr 2013","43 min","Action, Drama, Sci-Fi","N/A","Kevin Murphy, Rockne S. O'Bannon, Michael Taylor","Grant Bowler, Julie Benz, Stephanie Leonidas, Tony Curran","In the year 2046, it's a new Earth - with new rules. Over thirty years after various alien races arrived on Earth, the landscape is completely altered, terraformed nearly beyond recognition...","English, Hebrew","USA","Nominated for 1 Primetime Emmy. Another 3 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjkwODU5ODk5MF5BMl5BanBnXkFtZTgwMDQzMTYzNTE@._V1_SX300.jpg","Internet Movie Database","7.0/10","N/A","7.0","35,419","tt2189221","series","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"71","Hannibal","2013–2015","TV-14","04 Apr 2013","44 min","Crime, Drama, Horror","N/A","Bryan Fuller","Hugh Dancy, Mads Mikkelsen, Caroline Dhavernas, Laurence Fishburne","Explores the early relationship between the renowned psychiatrist and his patient, a young FBI criminal profiler, who is haunted by his ability to empathize with serial killers.","English","USA","Nominated for 1 Primetime Emmy. Another 15 wins & 45 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjU1NTgyNjI5OF5BMl5BanBnXkFtZTgwNDgxNDA4NTE@._V1_SX300.jpg","Internet Movie Database","8.6/10","N/A","8.6","175,511","tt2243973","series","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"72","Twisted","2013–2014","N/A","11 Jun 2013","60 min","Drama, Mystery, Thriller","N/A","Adam Milch","Avan Jogia, Maddie Hasson, Ashton Moio, Kimberly Quinn","A teen with a troubled past reconnects with his two female best friends from childhood. He becomes the prime suspect when a fellow student is surprisingly found dead in her home.","English","USA","5 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3MjU0NTQ3N15BMl5BanBnXkFtZTcwMjg5MTU0OQ@@._V1_SX300.jpg","Internet Movie Database","7.5/10","N/A","7.5","8,305","tt2355844","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"73","Hit the Floor","2013–","N/A","27 May 2013","60 min","Drama, Romance","N/A","James LaRosa","Kimberly Elise, Taylour Paige, Logan Browning, Katherine Bailess","Ahsha Hayes enters the wild world of professional basketball when she tries out for the elite L.A. Devil Girls dance team against the wishes of her mother Sloane, a former dancer herself.","English","USA","1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0MzU2NTQ3Nl5BMl5BanBnXkFtZTgwODQ3NTI2NzE@._V1_SX300.jpg","Internet Movie Database","7.1/10","N/A","7.1","1,914","tt2368645","series","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"74","Rogue","2013–","N/A","03 Apr 2013","50 min","Action, Crime, Drama","N/A","Matthew Parkhill","Cole Hauser, Thandie Newton, Sergio Di Zio, Sarah Jeffery","Grace, a morally and emotionally-conflicted undercover detective, is tormented by the possibility that her own actions contributed to her son's mysterious death. In her quest for the truth,...","English","USA, Canada","2 wins & 14 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMDkyMTI2N15BMl5BanBnXkFtZTcwOTY0MzQ5OA@@._V1_SX300.jpg","Internet Movie Database","6.9/10","N/A","6.9","2,016","tt2397255","series","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
